lat,lon,name,major,minor,nta,borough,nodes,stages,major_cls,major_lanes,minor_cls,minor_lanes,cycle_s,green_s,cross_m,wait_major_s,wait_minor_s,barnes,lpi,subway_access,poi_200m,peds_cross_major,peds_cross_minor,peds_day,lost_hours_day,rank_lost,rank_wait
40.725813,-73.997622,West Houston Street / Mercer Street,West Houston Street,Mercer Street,Greenwich Village,Manhattan,2,2,primary,7.0,residential,1.0,90,23.0,32.1,49.9,6.0,0,0,78459,78,14432,13010,27442,221.6,39,370
40.736752,-73.877684,Queens Boulevard / Grand Avenue,Queens Boulevard,Grand Avenue,Elmhurst,Queens,4,3,primary,10.0,secondary,3.0,120,32.0,47.3,96.8,8.1,0,0,24791,51,7507,8327,15834,220.6,40,56
40.725442,-73.996764,East Houston Street / West Houston Street,East Houston Street,West Houston Street,Greenwich Village,Manhattan,2,2,primary,7.0,primary,6.0,90,37.5,32.1,30.6,23.0,0,1,90291,119,13923,15445,29368,217.1,41,1310
40.740881,-73.987985,East 23rd Street / Madison Avenue,East 23rd Street,Madison Avenue,Midtown South-Flatiron-Union Square,Manhattan,1,1,secondary,5.0,secondary,3.0,90,25.7,20.1,22.9,27.2,1,0,81659,117,14713,16321,31034,217.0,42,3358
40.748508,-73.988695,6th Avenue / West 32nd Street,6th Avenue,West 32nd Street,Midtown South-Flatiron-Union Square,Manhattan,1,1,secondary,4.0,unclassified,1.0,90,23.0,17.0,24.9,6.0,0,1,198971,164,25133,25133,50266,215.9,43,1664
40.726571,-73.852628,Queens Boulevard / 67th Road,Queens Boulevard,67th Road,Forest Hills,Queens,4,4,primary,10.0,residential,2.0,120,32.0,53.3,129.1,6.0,0,0,13765,65,5716,5716,11431,214.4,44,5
40.724439,-73.993457,East Houston Street / Elizabeth Street,East Houston Street,Elizabeth Street,Greenwich Village,Manhattan,2,2,primary,6.0,residential,2.0,90,23.0,29.1,49.9,6.0,0,1,71210,142,13773,13773,27545,213.7,45,371
40.734784,-73.87462,Queens Boulevard / 56th Avenue,Queens Boulevard,56th Avenue,Elmhurst,Queens,4,4,primary,11.0,residential,2.0,120,32.0,56.3,129.1,6.0,0,0,13493,44,5664,6283,11947,213.5,46,6
40.749122,-73.988235,6th Avenue / West 33rd Street,6th Avenue,West 33rd Street,Midtown South-Flatiron-Union Square,Manhattan,1,1,secondary,4.0,residential,2.0,90,23.0,17.0,24.9,6.0,0,0,230241,159,24324,26983,51307,213.4,47,1665
40.732449,-73.991289,Broadway / East 11th Street,Broadway,East 11th Street,Greenwich Village,Manhattan,1,1,primary,2.0,residential,2.0,90,17.2,10.9,29.5,15.3,1,0,90307,84,17134,17134,34268,212.9,48,1339
40.734349,-73.873572,Queens Boulevard / 57th Avenue,Queens Boulevard,57th Avenue,Elmhurst,Queens,5,4,primary,12.0,tertiary,4.0,120,32.0,59.4,129.1,6.0,0,0,13227,32,5613,6227,11840,211.6,49,7
40.726176,-73.998358,West Houston Street / Greene Street,West Houston Street,Greene Street,Greenwich Village,Manhattan,2,2,primary,6.0,residential,1.0,90,23.0,29.1,49.9,6.0,0,0,71295,81,13781,12423,26204,211.6,50,372
40.716109,-74.009016,Hudson Street / West Broadway,Hudson Street,West Broadway,Tribeca-Civic Center,Manhattan,2,1,secondary,3.0,secondary,2.0,90,20.0,13.9,27.2,29.5,1,0,74791,136,14102,12713,26815,210.5,51,1418
40.751659,-73.990134,7th Avenue / West 35th Street,7th Avenue,West 35th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,residential,2.0,90,23.0,17.0,24.9,6.0,0,1,223651,116,23983,26604,50587,210.4,52,1666
40.743337,-73.98408,Park Avenue South / East 28th Street,Park Avenue South,East 28th Street,Midtown South-Flatiron-Union Square,Manhattan,2,2,primary,6.0,residential,2.0,90,23.0,29.1,49.9,6.0,0,1,68863,122,13552,13552,27104,210.3,53,373
40.709698,-74.011687,Liberty Street / Trinity Place,Liberty Street,Trinity Place,Financial District-Battery Park City,Manhattan,2,2,unclassified,5.0,secondary,3.0,60,22.1,26.1,23.9,20.7,0,0,109083,84,16924,16924,33849,209.8,54,3342
40.749801,-73.987746,West 34th Street / 6th Avenue,West 34th Street,6th Avenue,Midtown South-Flatiron-Union Square,Manhattan,1,1,primary,4.0,secondary,4.0,90,38.6,17.0,14.7,12.1,0,0,251612,152,28174,28174,56348,209.3,55,7600
40.68377,-73.978753,4th Avenue / Pacific Street,4th Avenue,Pacific Street,Park Slope,Brooklyn,2,2,primary,7.0,residential,2.0,90,22.0,32.1,51.3,15.3,1,0,58639,65,11308,11308,22616,209.2,56,360
40.750342,-73.991099,7th Avenue / West 33rd Street,7th Avenue,West 33rd Street,Midtown South-Flatiron-Union Square,Manhattan,1,1,secondary,5.0,residential,1.0,90,25.7,20.1,22.9,6.0,0,1,250685,125,25353,28123,53476,208.3,57,3359
40.704542,-74.014256,Battery Place / State Street,Battery Place,State Street,Financial District-Battery Park City,Manhattan,1,1,primary,3.0,primary,3.0,90,20.0,13.9,27.2,27.2,1,0,70187,66,15172,12330,27501,207.7,58,1419
40.762817,-73.833286,Northern Boulevard / Prince Street,Northern Boulevard,Prince Street,Flushing-Willets Point,Queens,3,3,primary,10.0,residential,2.0,120,32.0,47.3,96.8,6.0,0,0,18983,23,7351,5974,13325,207.6,59,57
40.75461,-73.997112,Dyer Avenue / West 35th Street,Dyer Avenue,West 35th Street,Chelsea-Hudson Yards,Manhattan,2,2,primary,4.0,unclassified,2.0,90,23.0,23.0,49.9,6.0,0,0,67934,48,13464,12137,25601,206.7,60,374
40.747758,-73.980861,Park Avenue / East 35th Street,Park Avenue,East 35th Street,Midtown-Times Square,Manhattan,2,2,primary,6.0,residential,3.0,90,23.0,29.1,49.9,6.0,0,0,80159,77,13145,14582,27727,206.4,61,375
40.757342,-73.986012,7th Avenue / West 44th Street,7th Avenue,West 44th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,residential,1.0,90,23.0,17.0,24.9,6.0,0,1,214125,95,23481,26047,49527,206.0,62,1667
40.754147,-73.988323,7th Avenue / West 39th Street,7th Avenue,West 39th Street,Midtown-Times Square,Manhattan,1,1,secondary,3.0,residential,2.0,90,25.8,13.9,22.9,6.0,0,1,244879,145,25065,27804,52869,205.9,63,3360
40.769918,-73.980584,Central Park West / West 62nd Street,Central Park West,West 62nd Street,Upper West Side-Lincoln Square,Manhattan,1,1,secondary,3.0,secondary,2.0,90,20.0,13.9,27.2,29.5,1,0,70424,24,12350,13699,26049,205.4,64,1420
40.743956,-73.98363,Park Avenue South / East 29th Street,Park Avenue South,East 29th Street,Midtown South-Flatiron-Union Square,Manhattan,2,2,primary,6.0,residential,2.0,90,23.0,29.1,49.9,6.0,0,0,65221,142,13202,13202,26404,204.9,65,376
40.752317,-73.985947,6th Avenue / West 38th Street,6th Avenue,West 38th Street,Midtown-Times Square,Manhattan,1,1,secondary,3.0,residential,1.0,90,23.0,13.9,24.9,6.0,0,1,210897,124,23308,25855,49163,204.4,66,1668
40.744571,-73.983182,Park Avenue South / East 30th Street,Park Avenue South,East 30th Street,Midtown South-Flatiron-Union Square,Manhattan,2,2,primary,6.0,tertiary,2.0,90,23.0,29.1,49.9,6.0,0,0,63389,130,13022,13022,26045,202.1,67,377
40.758016,-73.981797,6th Avenue / West 47th Street,6th Avenue,West 47th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,residential,1.0,90,23.0,17.0,24.9,6.0,0,1,173568,120,23519,23519,47037,202.0,68,1669
40.689927,-73.981467,Flatbush Avenue Extension / DeKalb Avenue,Flatbush Avenue Extension,DeKalb Avenue,Fort Greene,Brooklyn,2,2,primary,6.0,secondary,3.0,90,23.9,29.1,48.5,8.1,0,1,61128,83,12797,12797,25593,201.2,69,1017
40.754842,-73.984118,West 42nd Street / 6th Avenue,West 42nd Street,6th Avenue,Midtown-Times Square,Manhattan,1,1,primary,5.0,secondary,5.0,90,38.6,20.1,14.7,12.1,0,1,226879,95,26790,26790,53580,199.0,70,7601
40.753503,-73.988798,7th Avenue / West 38th Street,7th Avenue,West 38th Street,Midtown-Times Square,Manhattan,1,1,secondary,3.0,residential,2.0,90,25.8,13.9,22.9,6.0,0,1,226334,157,24123,26759,50882,198.2,71,3361
40.702441,-74.012837,Whitehall Street / State Street,Whitehall Street,State Street,Financial District-Battery Park City,Manhattan,1,1,primary,4.0,primary,3.0,90,22.9,17.0,25.0,27.2,1,0,56298,69,13645,13645,27289,197.9,72,1557
40.742832,-73.988662,5th Avenue / West 25th Street,5th Avenue,West 25th Street,Midtown South-Flatiron-Union Square,Manhattan,1,1,secondary,3.0,residential,1.0,90,20.0,13.9,27.2,17.4,1,0,88293,103,15279,16948,32227,197.2,73,1421
40.7001,-73.987778,Sands Street / Pearl Street,Sands Street,Pearl Street,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,3,3,secondary,5.0,residential,2.0,90,23.0,32.0,74.8,6.0,0,0,28148,23,8840,7969,16810,197.0,74,119
40.755167,-73.996522,Dyer Avenue / West 36th Street,Dyer Avenue,West 36th Street,Chelsea-Hudson Yards,Manhattan,2,2,primary,6.0,secondary,2.0,90,23.0,29.1,49.9,8.1,0,0,68569,50,12192,12192,24383,196.4,75,378
40.735914,-73.991212,East 15th Street / Union Square West,East 15th Street,Union Square West,Midtown South-Flatiron-Union Square,Manhattan,1,1,residential,1.0,residential,1.0,60,14.3,7.8,17.4,17.4,1,0,128050,129,20290,20290,40581,195.9,76,5507
40.756142,-73.983166,6th Avenue / West 44th Street,6th Avenue,West 44th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,residential,1.0,90,23.0,17.0,24.9,6.0,0,1,188787,97,22086,24499,46585,193.7,77,1670
40.752944,-73.985484,6th Avenue / West 39th Street,6th Avenue,West 39th Street,Midtown-Times Square,Manhattan,1,1,secondary,3.0,residential,2.0,90,25.8,13.9,22.9,6.0,0,1,215462,115,23552,26126,49677,193.5,78,3362
40.717196,-74.012887,West Street / Chambers Street,West Street,Chambers Street,Financial District-Battery Park City,Manhattan,2,2,trunk,10.0,secondary,3.0,120,32.0,41.3,64.5,8.1,0,0,33757,16,9634,8685,18320,192.3,79,160
40.751532,-73.993943,8th Avenue / West 33rd Street,8th Avenue,West 33rd Street,Chelsea-Hudson Yards,Manhattan,1,1,secondary,4.0,unclassified,1.0,90,23.0,17.0,24.9,6.0,0,1,185073,96,21873,24264,46137,191.9,80,1671
40.696133,-73.987104,Tillary Street / Jay Street,Tillary Street,Jay Street,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2,2,trunk,8.0,secondary,3.0,120,32.0,35.2,64.5,8.1,0,1,33458,18,9594,8649,18242,191.5,81,161
40.693756,-73.990425,Cadman Plaza West / Court Street,Cadman Plaza West,Court Street,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,1,1,secondary,3.0,secondary,2.0,90,20.0,13.9,27.2,29.5,1,0,54819,52,12144,12144,24288,191.1,82,1422
40.720656,-74.005224,West Broadway / 6th Avenue,West Broadway,6th Avenue,Tribeca-Civic Center,Manhattan,1,1,trunk,3.0,trunk,3.0,90,20.0,13.9,27.2,27.2,1,0,59597,68,12642,12642,25283,191.0,83,1423
